ID;ID_DEPARTAMENTO;NOMBRE;CODIGO_DANE
-1;;No aplica;
1;11;BOGOTA-DC 11001;11001
2;25;BOJACA-cundinamarca 25099;25099
3;25;CAJICA-cundinamarca 25126;25126
4;25;CHIA-cundinamarca 25175;25175
5;25;COTA-cundinamarca 25214;25214
6;25;FACATATIVA-cundinamarca 25269;25269
7;25;FUNZA-cundinamarca 25286;25286
8;25;GACHANCIPA-cundinamarca 25295;25295
9;25;LA CALERA 25377;25377
10;25;MADRID-cundinamarca 25430;25430
12;25;SIBATE-cundinamarca 25740;25740
13;25;SOACHA-cundinamarca 25754;25754
14;25;SOPO-cundinamarca 25758;25758
15;25;TABIO-cundinamarca 25785;25785
16;25;TENJO-cundinamarca 25799;25799
17;25;TOCANCIPA-cundinamarca 25817;25817
18;25;ZIPAQUIRA-cundinamarca 25899;25899
11;25;MOSQUERA-cundinamarca 25473;25473
19;1000;Otro;NA
